Title,Abstract,Publication(s),Applicant(s),International filing date,Priority(s),Inventor(s),IPC,CPC,Simple family member(s),Claims,Ranking,Drawing

SYSTEMS AND METHODS FOR CAPACITY MODULATION THROUGH EUTECTIC PLATES,"A refrigeration system may include a compressor, a first heat exchanger, a first working fluid flow path, and a second working fluid flow path. The first heat exchanger receives working fluid discharged from the compressor. The first working fluid flow path may receive working fluid from the first heat exchanger and may include an evaporator and an evaporator control valve that is movable between a first position allowing fluid flow through the evaporator and a second position restricting fluid flow through the evaporator. The second working fluid flow path may receive working fluid from the first heat exchanger and may include a eutectic plate and a plate control valve that is movable between a first position allowing fluid flow through the eutectic plate and a second position restricting fluid flow through the eutectic plate.","WO2018005988A1 2018-01-04
","EMERSON CLIMATE TECHNOLOGIES
",30/06/2017,"US201662356639P 
US2018001731A1 2017-06-28
","VEHR SHAWN W
ROZSNAKI JOSEPH J
SIEFKER LOUIS
","F25B49/02
F25B5/02
F25B41/00
F25B41/04
F25B41/06
","B60H1/005
B60H1/3211
B60H1/323
B60H1/3232
B60H2001/3255
B60H2001/3272
B60H2001/3283
B60H2001/3289
","WO2018005988A1
US2018001731A1
",,1,

CONNECTING MEMBER AND MICRO-CHANNEL HEAT EXCHANGER,"The invention provides a connecting member and a micro-channel heat exchanger. The connecting member comprises a first side plate, a second side plate and an arc-shaped plate connected between the two plates, wherein a plurality of communicating channels (1) which are in parallel with one another and are spaced apart are provided in the connecting member, each of the communicating channels (1) extends from the first side plate to the second side plate. The invention solves the problem that the outer walls of the heat exchange tubes become thin due to bending of the heat exchanger.","US2018003448A1 2018-01-04
","ZHEJIANG DUNAN THERMAL TECH CO LTD
",16/05/2017,"CN107560484A 2016-06-30
","JIANG JUN
WANG DINGJUN
WU QINGHAO
","F28F9/26
F28D1/04
F28D1/053
","F28F9/26
F28D1/0435
F28D1/0443
F28D1/05366
F28D1/05383
F28F2260/02
F28F2275/04
F28F2275/12
","US2018003448A1
CN107560484A
",,3,

Cold Plate Heat Exchanger,"Embodiments relate to a system with a primary body in communication with at least one heat source. A chamber housed within the primary body includes a boundary to separate the heat source from fluid contact and a secondary body housed in the chamber. The secondary body includes a conduit and a cover in communication with the conduit wherein the cover has a fluid flow inlet extending into the conduit and the conduit includes a series of convection ports to exhaust fluid into the chamber. Upon surging through the convection ports, the fluid comes in contact with the plenum of the primary body and dissipates the heat generated from the heat source and transferred to the primary body. An outlet, separate from the inlet, removes the fluid from the chamber.","US2018003451A1 2018-01-04
","ADVANCED THERMAL SOLUTIONS INC
",28/06/2017,"US201662356981P 
US2018003451A1 2017-06-28
","PIKOVSKY ANATOLY
AZAR KAVEH
TAVASSOLI-HOJATI BAHMAN
","F28F27/00
","F28F27/00
F28D7/12
F28D2021/0029
F28F3/12
F28F7/02
F28F2210/10
F28F2250/08
F28F2250/10
H01L23/473
H05K7/20254
H05K7/20927
","US2018003451A1
",,3,

HEAT EXCHANGER IMPROVEMENTS,"The present disclosure relates to a heat exchanger system, and to a method of operation of the same. In one aspect, there is provided a heat exchanger system comprising a recuperator type heat exchanger exchanging heat between a first, flowing fluid, and a second fluid, and a means for reversing the flow direction of the flowing fluid repeatedly. In one form, the second fluid is flowing, and the heat exchanger system further comprises a means for reversing the flow direction of the second fluid frequently. An enhancement of heat transfer effectiveness has been found to be up to 30% due to flow reversal, depending on different factors, including the configuration of the heat exchanger, the thermo-physical properties of the fluids involved in the heat exchanger, and the temperature difference between hot and cold media, _T=Th-Tc.","WO2018006117A1 2018-01-11
","UNIV SOUTH AUSTRALIA
",05/07/2017,"AU2016902640A 2016-07-05
","RIAHI SOHEILA
BRUNO FRANK
SAMAN WASAM
","F28D7/00
F28D9/00
F28F3/00
F28F13/06
F28F27/02
","F28D7/00
F28D9/00
F28F3/00
F28F13/06
F28F27/00
F28F27/02
F28F2250/102
","WO2018006117A1
",,1,

Heat Exchanger With Dual Internal Valve,"A heat exchanger apparatus having a first fluid channel, a second fluid channel, a bypass channel, and inlet and outlet manifolds. A thermal bypass valve assembly is positioned within the inlet manifold, and contains an outer sleeve having a first, second and third apertures axially displaced. An inner sleeve positioned within the outer sleeve and moveable from a first to a second position upon actuation of a first actuator. The inner sleeve has a first orifice on a wall of the inner sleeve and a second orifice defined by the inner sleeve second end. The first orifice aligns with the first aperture in the first position and the second aperture in the in the second position. A second actuator coupled to a stopper that engagingly disengages from the second orifice upon actuation of the second actuator.","US2018010866A1 2018-01-11
","DANA CANADA CORP
",11/07/2017,"US201662360607P 
US2018010866A1 2017-07-11
","SHEPPARD JEFF
","F28F27/02
F16K11/07
F28D9/00
","F28F27/02
F01M5/00
F16K11/0716
F28D9/005
F28D2021/0089
F28F2250/06
","US2018010866A1
WO2018010022A9
",,3,

HEAT EXCHANGER,"Provided is a heat exchanger, which prevents condensation on the surface of a fin from being dispersed downwind. This heat exchanger comprises at least one heat exchanger tube (2) and a fin (3). The heat exchanger tube (2) includes flow paths (5) therein through which a refrigerant is circulated. The fin (3) is connected to the heat exchanger tube (2). The fin (3) includes a first end, a flat portion (3a), and a second end (3b). The flat portion (3a) has at least one linear rib (15) protruding from the flat portion (3a). The rib (15) includes a rib central portion (15b) and a part that has a straight portion (15a). The rib central portion (15b) is located at the center between the first end and the second end. The aforementioned part is continuous with the rib central portion (15b), and is formed so as to approach the first end or the second end towards the downstream side in the air circulation direction.","WO2018008134A1 2018-01-11
","MITSUBISHI ELECTRIC CORP
",07/07/2016,"WO2018008134A1 2016-07-07
","ITO DAISUKE
KOMIYA YUTA
","F28F1/30
F25B39/02
F28D1/053
","F25B39/02
F28D1/053
F28F1/30
","WO2018008134A1
",,3,

TRAINING DEVICE AND TRAINING METHOD FOR CONSTRUCTING SEAL,"Provided are a heat exchanger assembly and structure thereof, a flange structure, a seal structure, a fastening structure using a plurality of bolts and nuts, and a device and method with which a fastening procedure and so on can be safely performed in the same manner as in actual equipment. The present invention comprises: a shell part (42); a tubular plate part (fixing tubular plate 44) that is provided with a tube (96); a channel part (46) that is provided with a partition plate; bolts (54) and nuts (56) that fix a shell flange (82) and a channel flange (114) to each other; and a portable support mechanism (8-1, 8-2) that movably supports the tubular plate part in the front-rear direction, the up-down direction, and a direction intersecting the front-rear direction, and that movably supports the channel part in the front-rear direction, the up-down direction, and a direction intersecting the front-rear direction.","WO2018008585A1 2018-01-11
","NIHON VALQUA KOGYO KK
",03/07/2017,"JP2016135105A 2016-07-07
","YAMABE MASAYUKI
","G09B9/00
F16J15/00
","F16J15/00
G09B9/00
","WO2018008585A1
",,1,

Oil demister of heat exchanger type,"The present invention relates to a heat exchange type oil vapor collecting device. In particular, the present invention relates to a device for recovering or removing the condensed oil droplets by enabling the oil vapor to be heat exchanged with a refrigerant while oil vapor of high temperature is passing through a zigzag-shaped narrow gap, thereby condensing fine oil vapor particles into oil droplets. The heat exchange type oil vapor collecting device of the present invention comprises: a duct-shaped or cylindrical pressure container-shaped casing (100) provided on a flow path (10) through which an oil vapor passes; a refrigerant pipeline (200) which is piped within the casing (100), and in which a refrigerant of low temperature is circulated; and a vane cooling plate (300) including a plurality of plates (310) which are supported to an outer surface of the refrigerant pipeline (200) and disposed in parallel by keeping a predetermined gap with each other, and which have a cross-sectional shape multi-bent in a zigzag shape according to a flow direction of the oil vapor. Therefore, the heat exchange type oil vapor collecting device according to the present invention enhances marketability and market competitiveness, and can effectively prevent environmental pollution at the same time by enabling a large flow amount of the oil vapor to be treated within a short time while increasing design freedom of a lubricant circulating system and the like through a compact structure in which a heat exchanger and an oil collecting module are integrated.","KR101805055B1 2017-12-05
","PARKER KOREA LTD
",07/03/2017,"KR101805055B1 2017-03-07
","KIM DONG WON
CHOI SEUNG HYEON
","F25J1/00
F28D21/00
F28F1/32
F28F13/08
F28F19/02
",,"KR101805055B1
",,1,

OUTDOOR UNIT FOR AIR CONDITIONER,"The likelihood that refrigerant piping in a so-called all-aluminum heat exchanger using aluminum for refrigerant piping material becomes corroded increases due to dissimilar metal contact with an iron bottom plate of an outdoor unit. An air conditioner outdoor unit according to the present invention is provided with a mounting plate disposed on a bottom plate of a case and having a flat heat exchanging mounting face on which a heat exchanger is mounted. According to such a configuration, water and dust generated inside the case can be discharged to outside the case by being dropped from the heat exchanging mounting face onto the bottom plate. As a result, refrigerant leaks can be prevented even when an all-aluminum heat exchanger serving as the air conditioner heat exchanger is used.","WO2018020536A1 2018-02-01
","MITSUBISHI ELECTRIC CORP
",25/07/2016,"WO2018020536A1 2016-07-25
","OTSUKA MOTOKI
KATO YOHEI
SAKABE YUDAI
TANDA TSUBASA
MIWA MASAHARU
","F24F1/16
","F24F1/16
","WO2018020536A1
",,1,

Silicon-Based Heat Dissipation Device For Heat-Generating Devices,"Embodiments of a silicon-based heat dissipation device and a chip module assembly are described. An apparatus includes a chip module assembly that includes a silicon-based heat dissipation device and an extended device coupled to the silicon-based heat dissipation device. The silicon-based heat dissipation device includes a base portion having a first primary side and a second primary side opposite the first primary side. The silicon-based heat dissipation device also includes a protrusion portion on the first primary side of the base portion and protruding therefrom, with the protrusion portion having a plurality of fins. The extended device includes an extended layer. The second primary side of the base portion is configured to receive one or more heat-generating devices thereon such that at least a portion of heat generated by the one or more heat-generating devices is dissipated to the silicon-based heat-dissipation device by conduction.","US2018019179A1 2018-01-18
